Id,Course,Attn_Date,Attn_Hours
493507,AdClassSched_56915,1/21/2020,60
493507,AdClassSched_56915,1/16/2020,60
642750,AdClassSched_48862,2/12/2020,60
642750,AdClassSched_48862,2/5/2020,60
642750,AdClassSched_48862,2/19/2020,60
642750,AdClassSched_48862,1/23/2020,60
642750,AdClassSched_48862,1/16/2020,60
642750,AdClassSched_48862,1/29/2020,60
620329,AdClassSched_49282,2/11/2020,60
620329,AdClassSched_49282,1/20/2020,60
620329,AdClassSched_49282,1/28/2020,60
620329,AdClassSched_49282,1/16/2020,60
620329,AdClassSched_49282,2/18/2020,60
620329,AdClassSched_49282,2/4/2020,60
618625,AdClassSched_49340,2/13/2020,60
618625,AdClassSched_49340,2/4/2020,60
618625,AdClassSched_49340,2/19/2020,60
618625,AdClassSched_49340,1/31/2020,60
642214,AdClassSched_48862,2/10/2020,60
642214,AdClassSched_48862,2/25/2020,60
642214,AdClassSched_48862,2/4/2020,60
642214,AdClassSched_48862,2/17/2020,60
642214,AdClassSched_48862,1/20/2020,60
642214,AdClassSched_48862,1/13/2020,60
642214,AdClassSched_48862,1/27/2020,60
634099,AdClassSched_56971,2/20/2020,60
634099,AdClassSched_56971,2/13/2020,60
634099,AdClassSched_56971,2/3/2020,60
634099,AdClassSched_56971,1/27/2020,60
634099,AdClassSched_56971,2/25/2020,60
634099,AdClassSched_56971,1/20/2020,60
500105,AdClassSched_49282,1/23/2020,60
500105,AdClassSched_49282,1/28/2020,60
500105,AdClassSched_49282,2/19/2020,60
500105,AdClassSched_49282,2/6/2020,60
618133,AdClassSched_49341,2/12/2020,60
618133,AdClassSched_49341,2/24/2020,60
618133,AdClassSched_49341,2/7/2020,60
618133,AdClassSched_49341,2/19/2020,60
618133,AdClassSched_49341,1/24/2020,60
618133,AdClassSched_49341,1/20/2020,60
618133,AdClassSched_49341,1/29/2020,60
642211,AdClassSched_48863,2/13/2020,60
642211,AdClassSched_48863,2/3/2020,60
642211,AdClassSched_48863,2/21/2020,60
609969,AdClassSched_56974,2/19/2020,60
642211,AdClassSched_48863,1/24/2020,60
609969,AdClassSched_56974,2/10/2020,60
642211,AdClassSched_48863,1/16/2020,60
609969,AdClassSched_56974,1/30/2020,60
609969,AdClassSched_56974,2/24/2020,60
430448,AdClassSched_49282,2/13/2020,60
430448,AdClassSched_49282,1/30/2020,60
430448,AdClassSched_49282,2/20/2020,60
430448,AdClassSched_49282,2/7/2020,60
626511,AdClassSched_49341,2/5/2020,60
626511,AdClassSched_49341,2/19/2020,60
626511,AdClassSched_49341,1/24/2020,60
626511,AdClassSched_49341,1/14/2020,60
626511,AdClassSched_49341,1/30/2020,60
498069,AdClassSched_56976,2/21/2020,60
498069,AdClassSched_56976,2/12/2020,60
642615,AdClassSched_48863,2/10/2020,60
642615,AdClassSched_48863,2/24/2020,60
642615,AdClassSched_48863,2/3/2020,60
642615,AdClassSched_48863,2/18/2020,60
642615,AdClassSched_48863,1/21/2020,60
642615,AdClassSched_48863,1/27/2020,60
617605,AdClassSched_49299,2/16/2020,60
617605,AdClassSched_49299,2/8/2020,60
617605,AdClassSched_49299,2/22/2020,60
617605,AdClassSched_49299,1/25/2020,60
617605,AdClassSched_49299,1/17/2020,60
617605,AdClassSched_49299,2/1/2020,60
623551,AdClassSched_49341,2/14/2020,60
623551,AdClassSched_49341,2/7/2020,60
623551,AdClassSched_49341,2/22/2020,60
623551,AdClassSched_49341,1/29/2020,60
643200,AdClassSched_48863,2/23/2020,60
643200,AdClassSched_48863,1/26/2020,60
628248,AdClassSched_49299,2/10/2020,60
628248,AdClassSched_49299,1/20/2020,60
628248,AdClassSched_49299,2/3/2020,60
617103,AdClassSched_49341,2/16/2020,60
617103,AdClassSched_49341,2/24/2020,60
617103,AdClassSched_49341,2/4/2020,60
617103,AdClassSched_49341,2/18/2020,60
617103,AdClassSched_49341,1/22/2020,60
617103,AdClassSched_49341,1/14/2020,60
617103,AdClassSched_49341,1/28/2020,60
628939,AdClassSched_49299,2/11/2020,60
628939,AdClassSched_49299,2/4/2020,60
628939,AdClassSched_49299,2/1/2020,60
645296,AdClassSched_48865,2/12/2020,60
645296,AdClassSched_48865,2/7/2020,60
645296,AdClassSched_48865,2/20/2020,60
645296,AdClassSched_48865,1/23/2020,60
645296,AdClassSched_48865,1/16/2020,60
645296,AdClassSched_48865,1/30/2020,60
563836,AdClassSched_49342,2/12/2020,60
563836,AdClassSched_49342,2/3/2020,60
563836,AdClassSched_49342,2/19/2020,60
563836,AdClassSched_49342,1/25/2020,60
563836,AdClassSched_49342,1/18/2020,60
563836,AdClassSched_49342,1/29/2020,60
509913,AdClassSched_49300,2/13/2020,60
509913,AdClassSched_49300,2/25/2020,60
509913,AdClassSched_49300,2/8/2020,60
509913,AdClassSched_49300,2/19/2020,60
509913,AdClassSched_49300,1/22/2020,60
509913,AdClassSched_49300,1/13/2020,60
509913,AdClassSched_49300,1/29/2020,60
638814,AdClassSched_48866,2/14/2020,60
638814,AdClassSched_48866,2/5/2020,60
638814,AdClassSched_48866,2/18/2020,60
638814,AdClassSched_48866,1/23/2020,60
638814,AdClassSched_48866,1/13/2020,60
638814,AdClassSched_48866,1/31/2020,60
631652,AdClassSched_56984,1/27/2020,60
631652,AdClassSched_56984,1/20/2020,60
631652,AdClassSched_56984,2/21/2020,60
631652,AdClassSched_56984,2/7/2020,60
631652,AdClassSched_56984,2/15/2020,60
631652,AdClassSched_56984,1/17/2020,60
515946,AdClassSched_49342,2/24/2020,60
515946,AdClassSched_49342,2/4/2020,60
515946,AdClassSched_49342,2/21/2020,60
515946,AdClassSched_49342,1/24/2020,60
515946,AdClassSched_49342,1/14/2020,60
515946,AdClassSched_49342,1/30/2020,60
623556,AdClassSched_49301,2/11/2020,60
623556,AdClassSched_49301,2/22/2020,60
643073,AdClassSched_48866,2/10/2020,60
643073,AdClassSched_48866,2/24/2020,60
643073,AdClassSched_48866,2/3/2020,60
643073,AdClassSched_48866,2/17/2020,60
643073,AdClassSched_48866,1/22/2020,60
643073,AdClassSched_48866,1/13/2020,60
643073,AdClassSched_48866,1/28/2020,60
633553,AdClassSched_56985,2/18/2020,60
633553,AdClassSched_56985,2/11/2020,60
633553,AdClassSched_56985,1/14/2020,60
633553,AdClassSched_56985,2/4/2020,60
633553,AdClassSched_56985,1/27/2020,60
633553,AdClassSched_56985,2/25/2020,60
633553,AdClassSched_56985,1/23/2020,60
618150,AdClassSched_49343,2/13/2020,60
618150,AdClassSched_49343,2/25/2020,60
618150,AdClassSched_49343,2/4/2020,60
618150,AdClassSched_49343,1/31/2020,60
628935,AdClassSched_49302,2/14/2020,60
628935,AdClassSched_49302,2/7/2020,60
628935,AdClassSched_49302,2/19/2020,60
628935,AdClassSched_49302,1/23/2020,60
628935,AdClassSched_49302,1/27/2020,60
631711,AdClassSched_49003,2/5/2020,60
631711,AdClassSched_49003,1/21/2020,60
631711,AdClassSched_49003,2/11/2020,60
631711,AdClassSched_49003,1/28/2020,60
631711,AdClassSched_49003,2/20/2020,60
636931,AdClassSched_56985,2/18/2020,60
636931,AdClassSched_56985,1/15/2020,60
636931,AdClassSched_56985,2/5/2020,60
636931,AdClassSched_56985,1/29/2020,60
636931,AdClassSched_56985,1/22/2020,60
608871,AdClassSched_49345,2/10/2020,60
608871,AdClassSched_49345,2/24/2020,60
608871,AdClassSched_49345,2/3/2020,60
608871,AdClassSched_49345,2/17/2020,60
608871,AdClassSched_49345,1/21/2020,60
608871,AdClassSched_49345,1/13/2020,60
608871,AdClassSched_49345,1/27/2020,60
629554,AdClassSched_49302,2/4/2020,60
629554,AdClassSched_49302,2/17/2020,60
629554,AdClassSched_49302,2/1/2020,60
628519,AdClassSched_49003,2/7/2020,60
628519,AdClassSched_49003,1/27/2020,60
628519,AdClassSched_49003,2/15/2020,60
628519,AdClassSched_49003,1/19/2020,60
628519,AdClassSched_49003,1/31/2020,60
628519,AdClassSched_49003,2/21/2020,60
633652,AdClassSched_56985,2/19/2020,60
633652,AdClassSched_56985,2/12/2020,60
633652,AdClassSched_56985,1/15/2020,60
633652,AdClassSched_56985,2/8/2020,60
633652,AdClassSched_56985,1/27/2020,60
